Category,ViewPath,Substitutions,en-US*,en-US,"ref=""0""","ref=""1""","ref=""2""","ref=""3""","ref=""4""","ref=""5""","ref=""6""","ref=""7""","ref=""8""","ref=""9""","ref=""10""","ref=""11""","ref=""12""","ref=""13""","ref=""14""","ref=""15"""
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Block title,,"""Main Program Sweep (Cycle)""","""Main Program Sweep (Cycle)""",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\1.ANALOG_INPUT [FB1]\Network 7\Network comment,,"// Network này nhận xung từ HMI để BẬT vĩnh viễn chế độ Thủ công.
// Nó chỉ được reset bởi một hành động khác (xem Network Y","// Network này nhận xung từ HMI để BẬT vĩnh viễn chế độ Thủ công.
// Nó chỉ được reset bởi một hành động khác (xem Network Y",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\KL_Bu_Tru,,">0.0 là bù chủ động vào KL_BU, ngược lại sẽ dùng CAN DƯ",">0.0 là bù chủ động vào KL_BU, ngược lại sẽ dùng CAN DƯ",,,,,,,,,,,,,,,,
<AlarmClassDisplayNameCategory>,BTNN_VACM_V1_1_relay_dp4_AnSon\Acknowledgement\AlarmClassData_IDisplayNaming_DisplayName,,A,A,,,,,,,,,,,,,,,,
<AlarmClassDisplayNameCategory>,BTNN_VACM_V1_1_relay_dp4_AnSon\Acknowledgement\ShortName,,A,A,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_KL_RTD,,Ag1 khối lượng rơi tự do,Ag1 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_SS_DUOI,,Ag1 sai số dưới,Ag1 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_SS_TREN,,Ag1 sai số trên,Ag1 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_TG_OFF_CAN,,Ag1 thời gian đóng cân,Ag1 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_TG_ON_CAN,,Ag1 thời gian mở cân,Ag1 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG1_TG_ODC,,Ag1 thời gian tính lượng rơi thêm,Ag1 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_KL_RTD,,Ag2 khối lượng rơi tự do,Ag2 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_SS_DUOI,,Ag2 sai số dưới,Ag2 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_SS_TREN,,Ag2 sai số trên,Ag2 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_TG_OFF_CAN,,Ag2 thời gian đóng cân,Ag2 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_TG_ON_CAN,,Ag2 thời gian mở cân,Ag2 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG2_TG_ODC,,Ag2 thời gian tính lượng rơi thêm,Ag2 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_KL_RTD,,Ag3 khối lượng rơi tự do,Ag3 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_SS_DUOI,,Ag3 sai số dưới,Ag3 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_SS_TREN,,Ag3 sai số trên,Ag3 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_TG_OFF_CAN,,Ag3 thời gian đóng cân,Ag3 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_TG_ON_CAN,,Ag3 thời gian mở cân,Ag3 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG3_TG_ODC,,Ag3 thời gian tính lượng rơi thêm,Ag3 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_KL_RTD,,Ag4 khối lượng rơi tự do,Ag4 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_SS_DUOI,,Ag4 sai số dưới,Ag4 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_SS_TREN,,Ag4 sai số trên,Ag4 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_TG_OFF_CAN,,Ag4 thời gian đóng cân,Ag4 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_TG_ON_CAN,,Ag4 thời gian mở cân,Ag4 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG4_TG_ODC,,Ag4 thời gian tính lượng rơi thêm,Ag4 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_KL_RTD,,Ag5 khối lượng rơi tự do,Ag5 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_SS_DUOI,,Ag5 sai số dưới,Ag5 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_SS_TREN,,Ag5 sai số trên,Ag5 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_TG_OFF_CAN,,Ag5 thời gian đóng cân,Ag5 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_TG_ON_CAN,,Ag5 thời gian mở cân,Ag5 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AG5_TG_ODC,,Ag5 thời gian tính lượng rơi thêm,Ag5 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\1.ANALOG_INPUT [FB1]\Network 1\Network title,,ANALOG MODE,ANALOG MODE,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_KL_RTD,,AP1 khối lượng rơi tự do,AP1 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_SS_DUOI,,AP1 sai số dưới,AP1 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_SS_TREN,,AP1 sai số trên,AP1 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_TG_OFF_CAN,,AP1 thời gian đóng cân,AP1 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_TG_ON_CAN,,AP1 thời gian mở cân,AP1 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\AP1_TG_ODC,,AP1 thời gian tính lượng rơi thêm,AP1 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\BTN\Comment,,Băng tải ngang,Băng tải ngang,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\BTN,,Băng tải ngang,Băng tải ngang,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\XA CL1\Comment,,Băng tải xả cốt liệu 1,Băng tải xả cốt liệu 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\XA CL1,,Băng tải xả cốt liệu 1,Băng tải xả cốt liệu 1,,,,,,,,,,,,,,,,
